first_seen,last_seen,Keyword_x,Suggestion,is_new,blogpost_created,category,blogpost_title,silot_terms,cornerstone,cluster,Keyword_y,Currency,Segmentation,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic average position,Organic impression share,In Account,Searches: Jul 2021,Searches: Aug 2021,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021,Searches: Dec 2021,Searches: Jan 2022,Searches: Feb 2022,Searches: Mar 2022,Searches: Apr 2022,Searches: May 2022,Searches: Jun 2022
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques vancouver,True,False,,,,,3,jeux olympiques vancouver,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques modernes,True,False,,,,,3,jeux olympiques modernes,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques prochain,True,False,,,,,3,jeux olympiques prochain,EUR,,500.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques ski alpin,True,False,,,,,3,jeux olympiques ski alpin,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques gymnastique rythmique,True,False,,,,,3,jeux olympiques gymnastique rythmique,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 30 juillet 2021,True,False,,,,,18,jeux olympiques 30 juillet 2021,EUR,,500.0,â,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques lutte,True,False,,,,,3,jeux olympiques lutte,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques de la jeunesse,True,False,,,,,3,jeux olympiques de la jeunesse,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques rocket league,True,False,,,,,3,jeux olympiques rocket league,EUR,,500.0,0%,-99%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques volley ball 2021,True,False,,,,,11,jeux olympiques volley ball 2021,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques mediterranee 2022,True,False,,,,,6,jeux olympiques mediterranee 2022,EUR,,500.0,â,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 72,True,False,,,,,3,jeux olympiques 72,EUR,,500.0,-90%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques qatar,True,False,,,,,3,jeux olympiques qatar,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques voile,True,False,,,,,3,jeux olympiques voile,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques gymnastique femme,True,False,,,,,3,jeux olympiques gymnastique femme,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques histoire,True,False,,,,,3,jeux olympiques histoire,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 84,True,False,,,,,3,jeux olympiques 84,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques langue officielle,True,False,,,,,3,jeux olympiques langue officielle,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 96,True,False,,,,,3,jeux olympiques 96,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 3000m steeple,True,False,,,,,3,jeux olympiques 3000m steeple,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 1896,True,False,,,,,3,jeux olympiques 1896,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 800m,True,False,,,,,3,jeux olympiques 800m,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques marseille,True,False,,,,,3,jeux olympiques marseille,EUR,,500.0,0%,900%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques pays organisateur,True,False,,,,,3,jeux olympiques pays organisateur,EUR,,500.0,900%,900%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques quelle chaine,True,False,,,,,24,jeux olympiques quelle chaine,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 31 juillet 2021,True,False,,,,,18,jeux olympiques 31 juillet 2021,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques lieux et dates,True,False,,,,,3,jeux olympiques lieux et dates,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques new york,True,False,,,,,3,jeux olympiques new york,EUR,,500.0,-90%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques moscou,True,False,,,,,3,jeux olympiques moscou,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques liste,True,False,,,,,3,jeux olympiques liste,EUR,,500.0,-90%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 2023,True,False,,,,,3,jeux olympiques 2023,EUR,,500.0,900%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 50 km marche,True,False,,,,,3,jeux olympiques 50 km marche,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques grece,True,False,,,,,3,jeux olympiques grece,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques ukraine,True,False,,,,,3,jeux olympiques ukraine,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques guerre froide,True,False,,,,,3,jeux olympiques guerre froide,EUR,,500.0,0%,900%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques water polo,True,False,,,,,3,jeux olympiques water polo,EUR,,500.0,900%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques biathlon 2022,True,False,,,,,6,jeux olympiques biathlon 2022,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques natation 2021,True,False,,,,,18,jeux olympiques natation 2021,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 2022 oran,True,False,,,,,6,jeux olympiques 2022 oran,EUR,,500.0,9900%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques suisse,True,False,,,,,3,jeux olympiques suisse,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques sur quelle chaine,True,False,,,,,24,jeux olympiques sur quelle chaine,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,programme jeux olympiques 7 aout 2021,True,False,,,,,18,programme jeux olympiques 7 aout 2021,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques origine,True,False,,,,,3,jeux olympiques origine,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques tous les combien,True,False,,,,,3,jeux olympiques tous les combien,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques oran,True,False,,,,,3,jeux olympiques oran,EUR,,500.0,900%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 1936 jesse owens,True,False,,,,,3,jeux olympiques 1936 jesse owens,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 92,True,False,,,,,3,jeux olympiques 92,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques google,True,False,,,,,3,jeux olympiques google,EUR,,500.0,900%,900%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 76,True,False,,,,,3,jeux olympiques 76,EUR,,500.0,900%,900%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques suisse 2022,True,False,,,,,6,jeux olympiques suisse 2022,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympique albertville 92,True,False,,,,,26,jeux olympique albertville 92,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 68,True,False,,,,,3,jeux olympiques 68,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques kayak 2021,True,False,,,,,18,jeux olympiques kayak 2021,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,champion paralympique natation,True,False,,,,,9,champion paralympique natation,EUR,,500.0,0%,900%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,most champion,True,False,,,,,26,most champion,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique perche,True,False,,,,,26,champion olympique perche,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique basket 2021,True,False,,,,,18,champion olympique basket 2021,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique cyclisme,True,False,,,,,26,champion olympique cyclisme,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique tennis,True,False,,,,,14,champion olympique tennis,EUR,,500.0,900%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique escrime,True,False,,,,,21,champion olympique escrime,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique patinage artistique 1992,True,False,,,,,26,champion olympique patinage artistique 1992,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique aviron,True,False,,,,,26,champion olympique aviron,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique marathon,True,False,,,,,26,champion olympique marathon,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique france,True,False,,,,,23,champion olympique france,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique ski francais,True,False,,,,,19,champion olympique ski francais,EUR,,500.0,-90%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique judo 2021,True,False,,,,,10,champion olympique judo 2021,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique relais,True,False,,,,,26,champion olympique relais,EUR,,500.0,-99%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique patinage artistique,True,False,,,,,26,champion olympique patinage artistique,EUR,,500.0,-90%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,olympic champion india,True,False,,,,,17,olympic champion india,EUR,,500.0,900%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique handball 2021,True,False,,,,,8,champion olympique handball 2021,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique foot,True,False,,,,,26,champion olympique foot,EUR,,500.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique biathlon,True,False,,,,,26,champion olympique biathlon,EUR,,500.0,-90%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique vtt,True,False,,,,,26,champion olympique vtt,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique cyclisme sur route,True,False,,,,,26,champion olympique cyclisme sur route,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique handball,True,False,,,,,8,champion olympique handball,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique patinage artistique 2022,True,False,,,,,26,champion olympique patinage artistique 2022,EUR,,500.0,-90%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique football,True,False,,,,,26,champion olympique football,EUR,,500.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique hockey,True,False,,,,,26,champion olympique hockey,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique handball 2016,True,False,,,,,8,champion olympique handball 2016,EUR,,500.0,â,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique saut en hauteur,True,False,,,,,16,champion olympique saut en hauteur,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique 100 m,True,False,,,,,26,champion olympique 100 m,EUR,,500.0,0%,900%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique triathlon,True,False,,,,,26,champion olympique triathlon,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique natation,True,False,,,,,26,champion olympique natation,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique basket,True,False,,,,,26,champion olympique basket,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique judo,True,False,,,,,10,champion olympique judo,EUR,,500.0,0%,900%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique contre la montre,True,False,,,,,26,champion olympique contre la montre,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques lausanne,True,False,,,,,3,jeux olympiques lausanne,EUR,,500.0,0%,0%,Low,1.0,1.15,1.63,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques montreal 1976,True,False,,,,,3,jeux olympiques montreal 1976,EUR,,500.0,-90%,0%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques site officiel,True,False,,,,,3,jeux olympiques site officiel,EUR,,500.0,0%,0%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques los angeles,True,False,,,,,3,jeux olympiques los angeles,EUR,,500.0,0%,0%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques munich,True,False,,,,,3,jeux olympiques munich,EUR,,500.0,0%,0%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques budapest,True,False,,,,,3,jeux olympiques budapest,EUR,,500.0,0%,900%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques rome,True,False,,,,,3,jeux olympiques rome,EUR,,500.0,0%,0%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques calgary,True,False,,,,,3,jeux olympiques calgary,EUR,,500.0,0%,0%,Low,2.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 88,True,False,,,,,3,jeux olympiques 88,EUR,,500.0,0%,0%,Low,2.0,0.2,0.51,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques france 2024,True,False,,,,,27,jeux olympiques france 2024,EUR,,500.0,0%,0%,Low,2.0,0.14,0.72,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques recrutement,True,False,,,,,3,jeux olympiques recrutement,EUR,,500.0,0%,0%,Low,2.0,0.07,0.77,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques paris 2024 billetterie,True,False,,,,,27,jeux olympiques paris 2024 billetterie,EUR,,500.0,0%,900%,Low,3.0,0.36,1.38,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques usa,True,False,,,,,3,jeux olympiques usa,EUR,,500.0,0%,0%,Low,3.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques paris 2024 sites,True,False,,,,,27,jeux olympiques paris 2024 sites,EUR,,500.0,0%,0%,Low,4.0,0.1,1.38,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique badminton,True,False,,,,,22,jeux paralympique badminton,EUR,,500.0,0%,0%,Low,5.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques kayak,True,False,,,,,3,jeux olympiques kayak,EUR,,500.0,0%,0%,Low,6.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques de paris 2024,True,False,,,,,27,jeux olympiques de paris 2024,EUR,,500.0,0%,0%,Low,6.0,0.36,1.38,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques paris 2024 recrutement,True,False,,,,,27,jeux olympiques paris 2024 recrutement,EUR,,500.0,0%,0%,Low,8.0,0.07,0.86,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques paris 2024 dates,True,False,,,,,27,jeux olympiques paris 2024 dates,EUR,,500.0,0%,0%,Low,9.0,0.05,1.37,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,les jeux paralympique,True,False,,,,,22,les jeux paralympique,EUR,,50.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique definition,True,False,,,,,22,jeux paralympique definition,EUR,,50.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques arthur bauchet,True,False,,,,,4,jeux paralympiques arthur bauchet,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique hiver 2022,True,False,,,,,15,jeux paralympique hiver 2022,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques judo,True,False,,,,,10,jeux paralympiques judo,EUR,,50.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques aviron,True,False,,,,,30,jeux paralympiques aviron,EUR,,50.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique handicap,True,False,,,,,22,jeux paralympique handicap,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique gymnastique,True,False,,,,,22,jeux paralympique gymnastique,EUR,,50.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques voile,True,False,,,,,30,jeux paralympiques voile,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques natation 2021,True,False,,,,,18,jeux paralympiques natation 2021,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique t38,True,False,,,,,22,jeux paralympique t38,EUR,,50.0,â,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques pyeongchang,True,False,,,,,30,jeux paralympiques pyeongchang,EUR,,50.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique basket,True,False,,,,,22,jeux paralympique basket,EUR,,50.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique ski de fond,True,False,,,,,22,jeux paralympique ski de fond,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques escrime,True,False,,,,,21,jeux paralympiques escrime,EUR,,50.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique rio 2016,True,False,,,,,22,jeux paralympique rio 2016,EUR,,50.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique cyclisme,True,False,,,,,22,jeux paralympique cyclisme,EUR,,50.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques quel handicap,True,False,,,,,30,jeux paralympiques quel handicap,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques beijing,True,False,,,,,30,jeux paralympiques beijing,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeu olympique paralympique,True,False,,,,,13,jeu olympique paralympique,EUR,,50.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques 2022 ukraine,True,False,,,,,6,jeux paralympiques 2022 ukraine,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques handball,True,False,,,,,8,jeux paralympiques handball,EUR,,50.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques en anglais,True,False,,,,,16,jeux paralympiques en anglais,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques rugby,True,False,,,,,5,jeux paralympiques rugby,EUR,,50.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique 2000 triche,True,False,,,,,22,jeux paralympique 2000 triche,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques beijing 2022,True,False,,,,,6,jeux paralympiques beijing 2022,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques palmares,True,False,,,,,30,jeux paralympiques palmares,EUR,,50.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux olympique paralympique 2022,True,False,,,,,6,jeux olympique paralympique 2022,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique foot aveugle,True,False,,,,,22,jeux paralympique foot aveugle,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeu paralympique hiver,True,False,,,,,13,jeu paralympique hiver,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques escalade,True,False,,,,,30,jeux paralympiques escalade,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques londres 2012,True,False,,,,,30,jeux paralympiques londres 2012,EUR,,50.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique classement medaille,True,False,,,,,22,jeux paralympique classement medaille,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques 1996,True,False,,,,,30,jeux paralympiques 1996,EUR,,50.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques nouveaux sports,True,False,,,,,3,jeux olympiques nouveaux sports,EUR,,50.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 5000m,True,False,,,,,3,jeux olympiques 5000m,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques un jour une question,True,False,,,,,3,jeux olympiques un jour une question,EUR,,50.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques algerie 2022,True,False,,,,,6,jeux olympiques algerie 2022,EUR,,50.0,â,â,Low,0.0,,,,,,,,,,,,,,,,,,
